modelo,parametros_b,bbh,gsm8k,musr,mmlu_pro,gpqa,arc_challenge,ifeval,truthfulqa,hellaswag
0-hero/Matter-0.2-7B-DPO,7.24,35.96,56.94,38.14,11.64,25.92,63.31,33.03,50.3,83.16
01-ai/Yi-1.5-34B,34.39,59.76,73.24,42.36,46.66,36.58,65.78,28.41,53.84,86.11
01-ai/Yi-1.5-34B-32K,34.39,60.16,0.0,43.98,47.09,36.33,64.42,31.19,52.11,85.54
01-ai/Yi-1.5-34B-Chat,34.39,60.84,71.65,42.82,45.2,36.49,70.48,60.67,62.16,85.97
01-ai/Yi-1.5-34B-Chat-16K,34.39,61.0,67.93,43.98,45.45,33.81,68.09,45.64,57.61,86.52
01-ai/Yi-1.5-9B,8.83,51.43,62.7,43.28,39.16,37.92,61.86,29.36,46.74,80.37
01-ai/Yi-1.5-9B-32K,8.83,49.63,0.0,41.86,37.65,35.91,61.09,23.03,42.53,79.83
01-ai/Yi-1.5-9B-Chat,8.83,55.59,71.87,42.59,39.75,33.47,63.65,60.46,52.67,80.94
01-ai/Yi-1.5-9B-Chat-16K,8.83,51.53,59.67,40.99,39.94,30.87,64.33,42.14,51.02,80.91
01-ai/Yi-34B,34.39,54.57,50.64,41.19,44.12,36.66,64.59,30.46,56.23,85.69
01-ai/Yi-34B-200K,34.39,54.42,34.87,38.17,45.35,35.65,65.78,15.42,42.6,82.06
01-ai/Yi-34B-Chat,34.39,55.61,31.92,39.78,40.93,33.81,65.44,46.99,55.37,84.16
01-ai/Yi-9B,8.83,49.4,48.98,40.54,35.74,31.8,61.18,27.09,42.45,78.82
01-ai/Yi-9B-200K,8.83,47.93,47.61,42.94,36.22,31.54,58.02,23.27,40.63,78.58
152334H/miqu-1-70b-sf,68.98,61.02,67.7,45.82,42.28,35.07,73.04,51.82,69.38,88.61
4season/final_model_test_v2,21.42,63.42,66.94,43.14,35.28,32.72,77.73,31.91,79.16,90.86
AI-Sweden-Models/gpt-sw3-40b,39.93,32.68,4.7,36.32,12.76,23.49,43.0,14.7,37.52,72.37
AbacusResearch/Jallabi-34B,34.39,60.23,65.2,48.22,46.82,33.89,66.04,35.29,51.46,83.81
Artples/L-MChat-7b,7.24,46.0,69.45,40.29,32.99,30.54,65.61,52.97,50.94,84.59
Azure99/blossom-v5-32b,32.51,59.55,70.66,40.2,42.35,31.12,63.82,52.35,58.24,83.54
Azure99/blossom-v5-llama3-8b,8.03,41.85,44.43,36.7,22.06,26.51,56.83,43.43,57.12,83.05
Azure99/blossom-v5.1-34b,34.39,61.09,65.58,39.28,45.58,30.96,67.58,56.97,61.84,85.83
BEE-spoke-data/Meta-Llama-3-8Bee,8.03,46.26,39.88,36.54,32.2,31.38,58.62,19.51,42.9,81.48
BramVanroy/GEITje-7B-ultra,7.24,37.76,19.41,32.9,20.11,26.26,45.48,37.23,53.36,75.5
CausalLM/14B,14.0,47.0,58.61,41.55,32.21,30.29,56.66,27.88,47.75,79.08
CausalLM/34b-beta,34.39,55.91,58.23,37.49,53.25,34.65,70.56,30.43,58.38,84.2
Changgil/K2S3-v0.1,14.35,46.55,61.71,40.14,25.62,26.43,60.32,32.77,47.81,79.65
