factor,variable,carga_rotada,carga_abs
F1,int_metric_1752,-0.6933,0.6933
F1,int_metric_1506,-0.6817,0.6817
F1,int_metric_276,0.6764,0.6764
F1,int_metric_1337,0.665,0.665
F1,int_metric_1491,-0.6491,0.6491
F2,int_metric_2068,-0.6734,0.6734
F2,int_metric_2028,-0.6495,0.6495
F2,int_metric_842,-0.6235,0.6235
F2,int_metric_441,0.6066,0.6066
F2,int_metric_2134,0.6002,0.6002
F3,int_metric_1333,-0.5281,0.5281
F3,int_metric_2525,-0.5154,0.5154
F3,int_metric_413,0.4928,0.4928
F3,int_metric_1607,-0.4884,0.4884
F3,int_metric_2535,0.4769,0.4769
F4,int_metric_15,-0.4995,0.4995
F4,int_metric_1455,0.4699,0.4699
F4,int_metric_230,-0.4552,0.4552
F4,int_metric_924,0.4531,0.4531
F4,int_metric_2002,-0.4231,0.4231
F5,int_metric_175,-0.5762,0.5762
F5,int_metric_106,0.5349,0.5349
F5,int_metric_294,0.5185,0.5185
F5,int_metric_2834,0.5105,0.5105
F5,int_metric_34,0.5034,0.5034
F6,int_metric_1807,0.5503,0.5503
F6,int_metric_2038,0.4991,0.4991
F6,int_metric_302,0.4915,0.4915
F6,int_metric_2125,0.4692,0.4692
F6,int_metric_1030,-0.468,0.468
F7,int_metric_2400,0.541,0.541
F7,int_metric_2316,-0.5037,0.5037
F7,int_metric_1118,0.4988,0.4988
F7,int_metric_1355,0.4897,0.4897
F7,int_metric_950,0.4678,0.4678
F8,int_metric_1090,-0.5073,0.5073
F8,int_metric_2238,-0.482,0.482
F8,int_metric_2155,-0.4814,0.4814
F8,int_metric_2511,-0.4791,0.4791
F8,int_metric_506,0.4757,0.4757
F9,int_metric_2121,-0.5144,0.5144
F9,int_metric_2925,0.5003,0.5003
F9,int_metric_753,-0.4556,0.4556
F9,int_metric_2845,-0.4532,0.4532
F9,int_metric_503,0.4523,0.4523
F10,int_metric_2060,-0.5102,0.5102
F10,int_metric_1360,-0.5025,0.5025
F10,int_metric_956,0.4582,0.4582
F10,int_metric_601,-0.4364,0.4364
F10,int_metric_1887,0.4281,0.4281
F11,hum_eval_9,0.6621,0.6621
F11,hum_eval_7,0.624,0.624
F11,hum_eval_10,0.6082,0.6082
F11,hum_eval_6,0.6047,0.6047
F11,hum_eval_8,0.5956,0.5956
